label,value,order,title,chart_type
2025,1,1,Number of projects submitted by year,bar
2026,3,1,Number of projects submitted by year,bar
2027,3,1,Number of projects submitted by year,bar
2028,2,1,Number of projects submitted by year,bar
2029,1,1,Number of projects submitted by year,bar
2030,1,1,Number of projects submitted by year,bar
2031,1,1,Number of projects submitted by year,bar
